Location,1991,2000,2010,2020,Total_Change,Pct_Change,CAGR
Alabama,2523.0,3921.0,6406.0,9280.0,6757.0,267.8,4.593454674039599
Alaska,2553.0,4559.0,8927.0,13642.0,11089.0,434.4,5.949153382188466
Arizona,2434.0,3225.0,6020.0,8756.0,6322.0,259.7,4.513382290828072
Arkansas,2351.0,3709.0,6378.0,9338.0,6987.0,297.2,4.870953139201917
California,2659.0,3567.0,6480.0,10299.0,7640.0,287.3,4.780027384131191
Colorado,2481.0,3767.0,5932.0,8583.0,6102.0,245.9,4.372631361219281
Connecticut,3305.0,5166.0,8831.0,12489.0,9184.0,277.9,4.690876185413861
Delaware,2824.0,4752.0,8802.0,12899.0,10075.0,356.8,5.377520998648011
District of Columbia,4642.0,6292.0,11112.0,14381.0,9739.0,209.8,3.9761971301041976
Florida,2937.0,4445.0,7269.0,9865.0,6928.0,235.9,4.266450945715938
Georgia,2484.0,3601.0,5551.0,8758.0,6274.0,252.6,4.440947984090404
Hawaii,2581.0,3874.0,6440.0,10291.0,7710.0,298.7,4.884845768891988
Idaho,2113.0,3372.0,5909.0,8148.0,6035.0,285.6,4.764011965200687
Illinois,2719.0,4166.0,7159.0,10190.0,7471.0,274.8,4.661028732957506
Indiana,2530.0,4018.0,6859.0,10517.0,7987.0,315.7,5.035702201059666
Iowa,2580.0,4226.0,7095.0,9789.0,7209.0,279.4,4.705527159897671
Kansas,2606.0,4225.0,6803.0,9408.0,6802.0,261.0,4.526143531640714
Kentucky,2373.0,4154.0,6861.0,10257.0,7884.0,332.2,5.177167210162148
Louisiana,2633.0,4021.0,7187.0,10515.0,7882.0,299.4,4.890582484951378
Maine,2538.0,4638.0,8342.0,12077.0,9539.0,375.8,5.526357217668942
Maryland,2771.0,4227.0,7744.0,10839.0,8068.0,291.2,4.815607269320643
Massachusetts,3313.0,5171.0,9533.0,13319.0,10006.0,302.0,4.914668616954709
Michigan,2653.0,4050.0,7089.0,9897.0,7244.0,273.0,4.644421154526146
Minnesota,2685.0,4506.0,7801.0,10846.0,8161.0,303.9,4.931956203576493
Mississippi,2163.0,3704.0,6554.0,9394.0,7231.0,334.3,5.194467080708587
Missouri,2505.0,4159.0,6990.0,9921.0,7416.0,296.0,4.860515965255097
Montana,2341.0,3855.0,6919.0,10212.0,7871.0,336.2,5.210466091270827
Nebraska,2352.0,4125.0,7406.0,10514.0,8162.0,347.0,5.299229900189517
Nevada,2364.0,3392.0,5788.0,8348.0,5984.0,253.1,4.446600500466391
New Hampshire,2442.0,4236.0,8445.0,11793.0,9351.0,382.9,5.580088580220299
New Jersey,2944.0,4732.0,7815.0,11868.0,8924.0,303.1,4.924578230737553
New Mexico,2228.0,3463.0,6430.0,8902.0,6674.0,299.6,4.892364626851919
New York,3193.0,5024.0,8759.0,14007.0,10814.0,338.7,5.2308243995425
North Carolina,2251.0,3950.0,6518.0,8917.0,6666.0,296.1,4.861311523663825
North Dakota,2677.0,4383.0,8011.0,11301.0,8624.0,322.2,5.091569824571662
Ohio,2669.0,4208.0,7397.0,10478.0,7809.0,292.6,4.828733447066735
Oklahoma,2355.0,3754.0,6664.0,9444.0,7089.0,301.0,4.905629803971467
Oregon,2293.0,3734.0,6750.0,10071.0,7778.0,339.2,5.235188709392746
Pennsylvania,3008.0,4702.0,8069.0,11603.0,8595.0,285.7,4.765184315543736
Rhode Island,2923.0,4772.0,8460.0,11694.0,8771.0,300.1,4.89704421507049
South Carolina,2249.0,3848.0,6507.0,8766.0,6517.0,289.8,4.802786047289009
South Dakota,2420.0,4157.0,7766.0,12495.0,10075.0,416.3,5.823830866346524
Tennessee,2544.0,4086.0,6630.0,9336.0,6792.0,267.0,4.585258375363255
Texas,2339.0,3639.0,6111.0,8406.0,6067.0,259.4,4.509847145405965
United States,2659.0,4101.0,7052.0,10191.0,7532.0,283.3,4.74194559084351
Utah,1966.0,3027.0,5133.0,7522.0,5556.0,282.6,4.735719671702832
Vermont,2328.0,4398.0,8850.0,12756.0,10428.0,447.9,6.040923472482507
Virginia,2340.0,3661.0,6548.0,9195.0,6855.0,292.9,4.832113245427028
Washington,2507.0,3863.0,6912.0,9265.0,6758.0,269.6,4.610566709621766
West Virginia,2585.0,4458.0,7920.0,12769.0,10184.0,394.0,5.662422497460828
Wisconsin,2547.0,4314.0,7605.0,9982.0,7435.0,291.9,4.822564365407156
Wyoming,2216.0,3964.0,7244.0,10989.0,8773.0,395.9,5.676619208853051
